MIDAS,Lake,Town,Station,Date,Time,Secchi_Depth,Secchi_On_Bottom,Scope,Wind_Level,Wind_Direction,Cloud_Cover
3188,Ingalls (Foster's) Pond,Bridgton,1,1990-04-29T00:00:00Z,1015,7.5,N,2,7,4,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1990-05-24T00:00:00Z,1400,7.5,N,2,6,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1990-06-16T00:00:00Z,1100,6.5,N,2,4,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1990-06-26T00:00:00Z,1530,7,N,2,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1990-07-10T00:00:00Z,0930,6.8,N,2,10,8,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1990-07-10T00:00:00Z,1000,6.8,N,2,7,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1990-07-30T00:00:00Z,0915,7.5,N,2,0,0,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1990-08-14T00:00:00Z,0930,7,N,2,15,2,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1990-08-14T00:00:00Z,0930,7,N,2,8,4,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1990-08-29T00:00:00Z,1000,6,N,2,4,8,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1991-05-01T00:00:00Z,1500,6,N,2,7,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1991-05-17T00:00:00Z,930,5.7,N,2,7,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1991-06-10T00:00:00Z,1550,6,N,2,7,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1991-07-01T00:00:00Z,1500,5.5,N,2,15,8,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1991-07-23T00:00:00Z,1230,5.5,N,2,7,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1991-07-24T00:00:00Z,1500,6,N,2,15,8,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1991-08-10T00:00:00Z,1505,4.5,N,2,7,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1991-08-13T00:00:00Z,1500,4.5,N,2,6,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1991-09-04T00:00:00Z,1000,5.8,N,2,5,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1991-10-04T00:00:00Z,1330,5,N,2,5,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1992-05-21T00:00:00Z,1100,6.5,N,2,7,7,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1992-06-09T00:00:00Z,1100,5.5,N,2,9,8,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1992-06-22T00:00:00Z,1030,5.6,N,2,7,8,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1992-06-29T00:00:00Z,1125,5.8,N,2,4,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1992-07-13T00:00:00Z,1040,5.3,N,2,NA,NA,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1992-07-29T00:00:00Z,1215,7,N,2,4,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1992-08-17T00:00:00Z,1420,7.2,N,2,1,5,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1992-08-28T00:00:00Z,1500,7.1,N,2,6,5,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1992-09-16T00:00:00Z,1000,6.5,N,2,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1993-05-18T00:00:00Z,1130,6.8,N,2,3,4,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1993-06-03T00:00:00Z,1050,8.4,N,2,8,4,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1993-06-14T00:00:00Z,1050,8.5,B,2,1,4,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1993-07-09T00:00:00Z,1050,7.6,N,2,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1993-07-28T00:00:00Z,1250,8,B,2,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1993-08-09T00:00:00Z,1125,7.5,N,2,3,NA,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1993-08-18T00:00:00Z,1400,7.5,N,2,10,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1993-09-30T00:00:00Z,1430,6,N,2,6,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1994-05-20T00:00:00Z,1330,8.5,N,2,1,2,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1994-06-02T00:00:00Z,1000,7,N,2,1,8,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1994-06-20T00:00:00Z,1050,6.5,N,2,2,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1994-06-29T00:00:00Z,1330,5.5,N,2,5,1,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1994-07-07T00:00:00Z,1200,6.5,N,2,0,0,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1994-07-17T00:00:00Z,1030,6.5,N,2,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1994-07-26T00:00:00Z,945,6,N,2,1,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1994-08-06T00:00:00Z,1000,6.5,N,2,5,0,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1994-08-09T00:00:00Z,1140,6.9,N,2,7,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1994-08-13T00:00:00Z,1000,5.8,N,2,0,0,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1994-08-23T00:00:00Z,1220,5.9,N,2,7,7,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1994-08-24T00:00:00Z,1130,6,N,2,2,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1994-09-03T00:00:00Z,1100,4.8,N,2,0,0,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1995-05-16T00:00:00Z,1215,5,N,2,8,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1995-06-14T00:00:00Z,1030,5.5,N,2,3,6,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1995-06-28T00:00:00Z,1330,5.5,N,2,7,2,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1995-07-14T00:00:00Z,1015,6.6,N,2,7,2,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1995-07-28T00:00:00Z,1415,6.1,N,2,7,8,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1995-08-08T00:00:00Z,1115,6.1,N,2,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1995-08-17T00:00:00Z,1045,7.6,N,2,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1995-09-02T00:00:00Z,1800,3.7,N,2,7,2,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1995-09-04T00:00:00Z,1315,5.1,N,2,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1995-09-24T00:00:00Z,1600,4.2,N,2,10,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1995-09-25T00:00:00Z,1100,5.5,N,2,0,0,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1995-10-09T00:00:00Z,1330,4.4,N,2,5,6,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1995-10-22T00:00:00Z,1400,5,N,2,10,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1995-10-24T00:00:00Z,1000,6.2,N,2,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1996-05-11T00:00:00Z,1130,5.3,N,2,5,2,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1996-05-27T00:00:00Z,1100,5.6,N,2,1,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1996-06-10T00:00:00Z,1510,6.2,N,2,6,3,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1996-06-29T00:00:00Z,1130,5.3,N,2,10,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1996-07-02T00:00:00Z,1130,6.2,N,2,0,0,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1996-07-08T00:00:00Z,1215,5.8,N,2,4,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1996-07-24T00:00:00Z,915,7,N,2,0,0,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1996-07-27T00:00:00Z,1100,6.6,N,2,3,8,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1996-08-06T00:00:00Z,1151,7.6,N,2,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1996-08-11T00:00:00Z,1130,7.5,N,2,5,8,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1996-08-26T00:00:00Z,1030,5.7,N,2,1,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1996-08-27T00:00:00Z,1305,6.6,N,2,3,1,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1996-09-07T00:00:00Z,1030,6.3,N,2,2,4,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1996-09-21T00:00:00Z,1030,4.4,N,2,2,4,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1996-10-06T00:00:00Z,1500,5.8,N,2,10,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1996-10-19T00:00:00Z,1230,6.2,N,2,2,4,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-04-23T00:00:00Z,1615,6.9,N,2,6,4,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-05-03T00:00:00Z,1040,7.1,N,2,5,6,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-05-18T00:00:00Z,1100,8.3,N,2,7,7,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-06-01T00:00:00Z,1300,7.4,N,2,2,7,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-06-15T00:00:00Z,1330,6.8,N,2,8,7,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-06-17T00:00:00Z,1130,6.6,N,5,1,4,NA
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-06-30T00:00:00Z,945,6.7,N,2,2,7,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-07-08T00:00:00Z,915,6.4,N,2,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-07-08T00:00:00Z,915,6.7,N,5,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-07-22T00:00:00Z,1130,6.7,N,2,9,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-07-22T00:00:00Z,1130,6.8,N,5,9,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-08-06T00:00:00Z,1000,7.1,N,2,3,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-08-06T00:00:00Z,1000,7.3,N,5,3,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-08-12T00:00:00Z,1044,7.9,N,5,8,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-08-12T00:00:00Z,1044,7.5,N,2,8,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-08-20T00:00:00Z,820,7.46,N,4,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-08-20T00:00:00Z,820,7.39,N,1,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-08-20T00:00:00Z,820,7.2,N,2,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-08-20T00:00:00Z,1030,7.3,N,5,2,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-08-20T00:00:00Z,1030,6.9,N,2,2,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-08-26T00:00:00Z,1050,7.5,N,5,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-08-26T00:00:00Z,1050,7.4,N,2,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-08-31T00:00:00Z,1515,6.7,N,5,7,5,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-08-31T00:00:00Z,1515,6.5,N,2,7,5,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-09-14T00:00:00Z,1400,5.4,N,5,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-09-14T00:00:00Z,1400,5.2,N,2,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-10-05T00:00:00Z,1400,5.8,N,5,2,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1997-10-05T00:00:00Z,1400,5.4,N,2,2,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-05-09T00:00:00Z,1444,8.07,N,5,4,3,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-05-09T00:00:00Z,1444,7.77,N,2,4,3,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-05-24T00:00:00Z,1300,7.93,N,2,11,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-05-24T00:00:00Z,1300,8.3,N,5,11,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-06-03T00:00:00Z,903,7.7,N,5,5,8,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-06-22T00:00:00Z,1425,5.8,N,5,3,5,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-06-25T00:00:00Z,1500,5.2,N,2,2,6,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-06-25T00:00:00Z,1500,5.4,N,5,2,6,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-07-08T00:00:00Z,1400,5.2,N,5,9,5,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-07-12T00:00:00Z,1130,5.6,N,2,6,2,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-07-12T00:00:00Z,1130,5.87,N,5,6,2,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-07-22T00:00:00Z,1125,6.6,N,5,2,5,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-07-30T00:00:00Z,1336,6.45,N,2,6,8,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-07-30T00:00:00Z,1336,6.72,N,5,6,8,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-08-03T00:00:00Z,1320,6.5,N,5,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-08-13T00:00:00Z,1120,6.85,N,5,2,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-08-13T00:00:00Z,1120,6.55,N,2,2,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-08-27T00:00:00Z,1000,6.4,N,5,3,8,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-08-29T00:00:00Z,1413,6.7,N,5,3,5,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-08-29T00:00:00Z,1413,6.55,N,2,3,5,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-09-07T00:00:00Z,1100,6.95,N,2,1,1,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-09-07T00:00:00Z,1100,7.1,N,5,1,1,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-09-26T00:00:00Z,1115,5.8,N,2,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-09-26T00:00:00Z,1115,6.05,N,5,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-10-12T00:00:00Z,1230,6.05,N,5,3,4,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-10-12T00:00:00Z,1230,5.9,N,2,3,4,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-10-25T00:00:00Z,1100,6.7,N,5,6,8,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-10-25T00:00:00Z,1100,6.3,N,2,6,8,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-11-14T00:00:00Z,1010,7.5,N,2,1,7,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1998-11-14T00:00:00Z,1010,7.65,N,5,1,7,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-05-03T00:00:00Z,1030,8.1,N,2,4,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-05-03T00:00:00Z,1030,8.3,N,5,4,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-05-16T00:00:00Z,1430,8.2,N,5,10,4,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-05-16T00:00:00Z,1430,7.9,N,2,10,4,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-05-31T00:00:00Z,1000,8.1,N,2,2,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-05-31T00:00:00Z,1000,8.2,N,5,2,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-06-03T00:00:00Z,918,8,B,5,2,5,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-06-13T00:00:00Z,1530,8.07,N,5,8,6,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-06-13T00:00:00Z,1530,7.95,N,2,8,6,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-06-15T00:00:00Z,1109,7.8,N,4,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-06-27T00:00:00Z,1035,7.9,N,5,3,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-06-27T00:00:00Z,1035,7.71,N,2,3,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-06-29T00:00:00Z,1100,7.6,N,4,8,5,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-07-11T00:00:00Z,945,7.35,N,5,2,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-07-11T00:00:00Z,945,7.15,N,2,2,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-07-14T00:00:00Z,1445,7.6,N,4,5,7,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-07-21T00:00:00Z,900,7.2,N,4,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-07-25T00:00:00Z,1040,7.45,N,2,1,4,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-07-25T00:00:00Z,1040,7.61,N,5,1,4,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-08-05T00:00:00Z,1025,7.3,N,4,4,5,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-08-11T00:00:00Z,1005,7.5,N,2,2,4,NA
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-08-11T00:00:00Z,1005,7.75,N,5,2,4,NA
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-08-18T00:00:00Z,930,5.4,N,4,3,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-08-22T00:00:00Z,1115,4.97,N,2,3,1,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-08-22T00:00:00Z,1115,5.1,N,4,3,1,O
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-09-05T00:00:00Z,1230,6.3,N,4,9,5,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-09-05T00:00:00Z,1230,6.15,N,2,9,5,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-09-19T00:00:00Z,1045,3.35,N,4,5,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-09-19T00:00:00Z,1045,3.06,N,2,5,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-10-02T00:00:00Z,1520,5.17,N,2,5,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-10-02T00:00:00Z,1520,5.2,N,4,5,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-10-17T00:00:00Z,1445,5.65,N,2,2,7,C
3188,Ingalls (Foster's) Pond,Bridgton,1,1999-10-17T00:00:00Z,1445,5.97,N,5,2,7,C
3188,Ingalls (Foster's) Pond,Bridgton,1,2000-05-14T00:00:00Z,1130,6.31,N,5,2,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2000-05-26T00:00:00Z,1215,5.8,N,4,3,6,C
3188,Ingalls (Foster's) Pond,Bridgton,1,2000-05-28T00:00:00Z,1425,5.54,N,5,4,1,O
3188,Ingalls (Foster's) Pond,Bridgton,1,2000-06-10T00:00:00Z,1435,6.3,N,5,3,5,C
3188,Ingalls (Foster's) Pond,Bridgton,1,2000-06-14T00:00:00Z,1405,7.5,N,4,7,4,C
3188,Ingalls (Foster's) Pond,Bridgton,1,2000-06-14T00:00:00Z,1405,7.4,N,4,7,4,C
3188,Ingalls (Foster's) Pond,Bridgton,1,2000-06-27T00:00:00Z,0900,7.26,N,5,8,5,C
3188,Ingalls (Foster's) Pond,Bridgton,1,2000-06-28T00:00:00Z,1050,7.6,N,4,1,8,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2000-07-12T00:00:00Z,1355,6.8,N,4,6,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2000-07-17T00:00:00Z,1023,6.62,N,5,0,0,O
3188,Ingalls (Foster's) Pond,Bridgton,1,2000-07-28T00:00:00Z,1106,7,N,4,1,1,O
3188,Ingalls (Foster's) Pond,Bridgton,1,2000-07-30T00:00:00Z,1130,6.82,N,5,6,3,O
3188,Ingalls (Foster's) Pond,Bridgton,1,2000-08-08T00:00:00Z,0930,7.3,N,4,4,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2000-08-15T00:00:00Z,1045,6.73,N,5,2,6,O
3188,Ingalls (Foster's) Pond,Bridgton,1,2000-08-21T00:00:00Z,1350,6.4,N,5,8,8,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2000-08-21T00:00:00Z,1350,6.5,N,4,8,8,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2000-08-30T00:00:00Z,1430,6.65,N,5,7,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2000-09-17T00:00:00Z,1445,5.35,N,5,8,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2000-10-01T00:00:00Z,1100,5.85,N,5,3,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2001-05-06T00:00:00Z,1300,6.9,N,5,5,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2001-05-17T00:00:00Z,1007,8.2,B,4,0,0,C
3188,Ingalls (Foster's) Pond,Bridgton,1,2001-05-20T00:00:00Z,1045,8.4,N,5,2,7,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2001-06-03T00:00:00Z,915,8.45,N,5,1,1,O
3188,Ingalls (Foster's) Pond,Bridgton,1,2001-06-05T00:00:00Z,1249,8,N,4,5,1,C
3188,Ingalls (Foster's) Pond,Bridgton,1,2001-06-15T00:00:00Z,1059,7.4,N,4,0,0,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2001-06-25T00:00:00Z,1030,7.98,N,5,2,8,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2001-07-02T00:00:00Z,1447,7.6,N,4,11,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2001-07-05T00:00:00Z,1145,7.67,N,5,6,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2001-07-16T00:00:00Z,1050,7.7,N,4,4,7,NA
3188,Ingalls (Foster's) Pond,Bridgton,1,2001-07-19T00:00:00Z,1100,7.8,N,5,2,2,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2001-07-30T00:00:00Z,1119,7.8,B,4,3,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2001-08-05T00:00:00Z,1100,7.97,N,5,2,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2001-08-13T00:00:00Z,1015,7.05,N,4,0,0,O
3188,Ingalls (Foster's) Pond,Bridgton,1,2001-08-19T00:00:00Z,1430,7.18,N,5,7,6,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2001-09-02T00:00:00Z,1450,6.79,N,5,3,6,NA
3188,Ingalls (Foster's) Pond,Bridgton,1,2001-09-11T00:00:00Z,1103,7.9,N,4,2,2,C
3188,Ingalls (Foster's) Pond,Bridgton,1,2001-09-16T00:00:00Z,1500,6.1,N,5,5,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2002-05-12T00:00:00Z,1005,6.9,N,5,5,4,O
3188,Ingalls (Foster's) Pond,Bridgton,1,2002-05-17T00:00:00Z,1420,7.3,N,4,8,1,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2002-05-27T00:00:00Z,1045,7.7,N,5,6,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2002-06-04T00:00:00Z,1445,7.6,B,4,3,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2002-06-09T00:00:00Z,1135,8.15,N,5,10,5,B
3188,Ingalls (Foster's) Pond,Bridgton,1,2002-06-18T00:00:00Z,1452,7.5,N,4,0,0,C
3188,Ingalls (Foster's) Pond,Bridgton,1,2002-06-24T00:00:00Z,0900,7.84,N,5,7,1,B
