"MIDAS","Samples","Stations","Years","FirstYear","LastYear","Mean","Median","Lake","Slope","PValue","TSSlope","TSPValue","TSKPValue","lm_category","TS_category"
"17",3452,510,1,43,1972,2018,5.57539215686274,5.5,"Crystal Lake",0.0222037876557952,3.3277363503032e-10,0.024015625,1.16764028812398e-35,3.32773635029994e-10,"Increasing","Increasing"
"18",3454,497,3,45,1972,2018,6.71189134808853,6.7,"Highland Lake",0.0149985424710009,1.44718631121167e-05,0.0133928571428572,4.01172581407089e-13,1.4471863112116e-05,"Increasing","Increasing"
"19",3456,575,1,44,1972,2018,4.82142608695652,4.8,"Woods Pond",0.016371331508541,3.24331008391481e-08,0.0190909090909091,3.54436708485078e-26,3.24331008391669e-08,"Increasing","Increasing"
"20",3458,174,1,30,1988,2018,3.54787356321839,3.5,"Otter Pond",0.0544779099075422,6.43328754587751e-18,0.05,1.21175736387991e-26,6.43328754586688e-18,"Increasing","Increasing"
"21",3694,461,1,41,1974,2018,6.87511930585683,6.81,"Panther Pond",-0.0053352011421308,0.123170111278428,0.000294117647058817,0.285271179240323,0.123170111278416,"No Change","No Change"
"22",3696,720,2,38,1974,2018,6.42155555555556,6.45,"Crescent Lake",-0.00282585240589415,0.324120720878948,-0.00833333333333332,3.50120543753019e-05,0.324120720878987,"No Change","No Change"
"23",3700,294,2,37,1975,2018,6.63207482993197,6.6,"Sabbathday Lake",0.0180021578017457,0.00315492007708369,0.0181818181818182,1.18809202045703e-09,0.00315492007708372,"Increasing","Increasing"
"24",3706,339,1,40,1976,2018,5.46578171091445,5.6,"Notched Pond",0.0160391504528379,2.63400634055414e-12,0.0208571428571428,1.73379457805072e-43,2.63400634053686e-12,"Increasing","Increasing"
"25",3708,316,1,36,1974,2018,6.17161392405063,6.2,"Crystal Lake",-0.00232968401371675,0.570893467323288,0.00779683708476279,0.0347154963028761,0.570893467323258,"No Change","No Change"
"26",3712,536,2,35,1974,2018,5.2360447761194,5.3,"Forest Lake",0.0134263897485745,2.36822724259782e-06,0.0189355742296919,4.2555951742678e-37,2.36822724259832e-06,"Increasing","Increasing"
"27",3714,1194,7,44,1975,2018,5.52272194304858,5.625,"Little Sebago Lake",0.0121833484224998,0.000132023288954722,0.0082904761904762,1.05663848885414e-11,0.000132023288954962,"Increasing","Increasing"
"28",3734,859,2,44,1974,2018,5.09062863795111,5,"Highland Lake",-0.0280548618855895,2.04130993646269e-18,-0.0126785714285714,1.89228754933537e-11,2.04130993644715e-18,"Declining","Declining"
"29",5780,1310,4,43,1976,2018,6.18461832061069,6.1,"Long Lake",0.0171374853122358,6.15889644418775e-13,0.0222222222222221,1.90610726470444e-77,6.15889644414709e-13,"Increasing","Increasing"
"30",9685,377,1,41,1976,2018,6.5420424403183,6.5,"Bay of Naples Lake",0.00737907539799213,0.0934225162904906,0.00624999999999998,6.03480613904049e-06,0.0934225162905715,"No Change","No Change"
