MIDAS,Lake,Towns,Area_ac,Perim_mi,D_Mean_ft,D_Max_ft,Volume_acft,DDrain_sqmi,TDrain_sqmi,Flushes_p_yr,Trop_Cat,Dam,Elev_ft,Major_Drainage,Sub_Drainage,HUC10_Name,HUC10_Code,USGS_Quad24,County,UTM_X,UTM_Y,Latitude,Longitude,WQ_Statement,Invasives,Fishery
11,Elaine Pond,Lowelltown Twp,11,0.5,NA,NA,104.58288,0.204633,NA,2.62,NA,NA,1370,KENNEBEC,UPPER MOOSE,Moose River (2) above Attean Pond,103000102,Skinner,Franklin,376696,5045003,45.54764427,-70.57958781,n/a,None known,n/a
12,Porter Lake,"New Vineyard, Strong",524,7,27,86,12971.52,4.683393,5.3,0.42,MESO,surface increased <50%,637,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Strong,Franklin,409034,4962675,44.81168149,-70.15039834,Above average,None known,Coldwater
14,Taylor Hill Pond,Strong,29,1.3,NA,NA,287.481312,1.343628,1.26,5.55,NA,NA,665,KENNEBEC,UPPER SANDY,Sandy River,103000305,Strong,Franklin,407089,4965228,44.83441314,-70.17546445,n/a,None known,n/a
15,Long Logan,Rangeley,8,1.4000000000000001,NA,NA,NA,NA,3.2800000000000002,NA,NA,NA,1690,ANDROSCOGGIN,UMBAGOG-RANGELEY,Richardson Lakes,104000101,Kennebago Lake,Franklin,368763,4986736,45.02192799,-70.66575391,n/a,None known,n/a
16,Day Mountain Pond,Avon,16,0.7000000000000001,11,27,103.6139075,0.243243,0.28,7.5600000000000005,MESO,surface increased <50%,1376,KENNEBEC,LOWER SANDY,Sandy River,103000305,Strong,Franklin,401237,4958928,44.77692954,-70.24826231,n/a,None known,Coldwater
17,Lost Pond,Chain of Ponds Twp,4,0.4,NA,NA,NA,NA,0.02,NA,NA,NA,1310,KENNEBEC,NORTH BRANCH DEAD,North Branch Dead River,103000201,Chain of Ponds,Franklin,363697,5025854,45.37293438,-70.74072443,n/a,None known,n/a
18,Bauds Pond,New Vineyard,31,1.5,NA,NA,321.04512,3.459456,11.200000000000001,38.72,NA,NA,555,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,New Vineyard,Franklin,411836,4963660,44.82090279,-70.11514965,n/a,None known,n/a
19,Emery Pond,Sidney,8,0.6,14,42,122.2423884,0.023166,0.66,0.34,MESO,no dam,272,KENNEBEC,MESSALONSKEE STREAM,Messalonskee Stream,103000310,Belgrade,Kennebec,434389,4916428,44.39817151,-69.8238863,n/a,None known,No fishery
20,Mill Pond,New Vineyard,24,1.2,NA,NA,220.11048,1.173744,8.11,38.62,NA,NA,608,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Strong,Franklin,410996,4961392,44.80038559,-70.12536963,n/a,None known,n/a
21,Mud Pond,Temple,7,0.6,NA,NA,72.9648,0.698841,2.17,37,NA,NA,595,KENNEBEC,LOWER SANDY,Sandy River,103000305,Farmington,Franklin,402326,4951616,44.71126281,-70.23309715,n/a,None known,n/a
22,Lily Pond,New Vineyard,56,1.9000000000000001,1,4,531.183744,0.791505,6.24,14.1,NA,NA,615,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Strong,Franklin,410315,4961263,44.79913496,-70.13395617,n/a,None known,Warmwater
24,Gammon Pond,"Freeman Twp, New Portland",104,1.9000000000000001,7,12,675.8796714,2.799225,3.0700000000000003,5.14,EUTRO,no dam,593,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Strong,Franklin,410493,4968336,44.86282248,-70.13295549,n/a,None known,Warmwater
25,Poison Pond,Jim Pond Twp,1,0.1,NA,NA,NA,NA,0.12,NA,NA,NA,1195,KENNEBEC,NORTH BRANCH DEAD,North Branch Dead River,103000201,Jim Pond,Franklin,377142,5013190,45.26147177,-70.56595325,n/a,None known,n/a
26,Day Pond,Kingfield,3,0.3,NA,NA,NA,NA,0.14,NA,NA,NA,1290,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Kingfield,Franklin,403223,4982349,44.98799172,-70.22764023,n/a,None known,n/a
27,Prick Pond,Skinner Twp,3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,2470,KENNEBEC,UPPER MOOSE,South Branch Moose River,103000101,Kibby Mtn,Franklin,381415,5033495,45.44491779,-70.51637214,n/a,None known,No fishery
28,Tufts Pond,Kingfield,56,1.8,9,43,435.7565682,0.559845,0.96,1.83,MESO,no dam,1257,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Kingfield,Franklin,405430,4983323,44.99704789,-70.19983601,n/a,None known,Coldwater
29,Robinson Pond,Chesterville,27,0.8,NA,NA,267.5376,0.745173,1.02,4.3,NA,NA,405,ANDROSCOGGIN,DEAD,Sandy River,103000305,Wilton,Franklin,410650,4934792,44.56092219,-70.12510373,n/a,None known,Warmwater
30,Pinnacle Pond,Kingfield,4,0.3,14,42,64.52706946,0.042471,0.09,0.8300000000000001,MESO,no dam,595,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Kingfield,Franklin,407540,4979809,44.96569987,-70.17242422,n/a,None known,Coldwater
31,Roland Pond,Dallas Plt,4,0.3,NA,NA,267.5376,0.316602,0.36,1.4000000000000001,NA,NA,1680,ANDROSCOGGIN,UMBAGOG-RANGELEY,South Branch Dead River,103000202,Kennebago Lake,Franklin,371558,4985796,45.01398347,-70.63005572,n/a,None known,n/a
32,Grindstone Pond,Kingfield,8,0.5,12,30,80.90491061,0.389961,0.47000000000000003,6.37,MESO,no dam,1301,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Poplar Mtn,Franklin,405065,4983995,45.00305403,-70.20459272,n/a,None known,Coldwater
33,Jims Pond,Newry,14,0.7000000000000001,NA,NA,133.7688,2.12355,NA,15.41,NA,NA,1317,ANDROSCOGGIN,BEAR,Androscoggin River (2) at Rumford Point,104000202,Puzzle Mtn,Oxford,359185,4930516,44.51422235,-70.77173343,n/a,None known,n/a
34,Hid Pond,Kingfield,13,0.7000000000000001,4,7,194.5728,0.208494,0.26,1.45,MESO,no dam,1238,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Poplar Mtn,Franklin,410788,4984369,45.00716211,-70.13205915,n/a,None known,Coldwater
35,Clark Cove Pond,South Bristol,30,2.4,5,11,NA,NA,NA,NA,EUTRO,surface increased >50%,5,COASTAL,DAMARISCOTTA,Damariscotta River,105000304,Bristol,Lincoln,454675,4864674,43.9337923,-69.56470702,Below average,None known,No fishery
36,Redington Pond,Carrabasset Valley,47,1.2,4,6,469.40688,0.972972,0.73,2.85,MESO,no dam,1411,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Poplar Mtn,Franklin,402098,4990675,45.06276666,-70.24352604,n/a,None known,Coldwater
37,Winnegance Pond,"Arrowsic, Phippsburg, West Bath",48,2.4,9,22,NA,NA,3.18,NA,EUTRO,surface increased >50%,5,NA,NA,Kennebec River Estuary,105000307,Phippsburg,Sagadahoc,434547,4858102,43.87311247,-69.81465196,n/a,None known,Warmwater
38,Flagstaff Lake,"Eustis, Bigelow Twp, Carrying Place Town Twp, Dead",17380,147.2,18,50,261364.7701,364.540176,516,2,EUTRO,surface increased >50%,1146,KENNEBEC,DEAD,Flagstaff Lake,103000203,The Horns,Somerset,399856,5004745,45.20082228,-70.30664644,n/a,None known,Warmwater
39,Lily Pond,"Bath, West Bath",9,1.1,6,10,72.0359581,1.019304,0.72,12.26,EUTRO,no dam,30,MERRYMEETING BAY,MERRYMEETING BAY,Kennebec River Estuary,105000307,Bath,Sagadahoc,432802,4860885,43.89800259,-69.83672354,n/a,None known,Warmwater
40,Black Brook Pond,Pierce Pond Twp,58,4.7,NA,NA,539.93952,13.640913,16.3,30.740000000000002,NA,NA,1136,KENNEBEC,DEAD,Dead River,103000204,Little Bigelow Mtn,Somerset,408642,5010234,45.23967073,-70.16400574,n/a,None known,Bait
41,Carlton Pond,"Detroit, Troy",327,12.1,4,8,1197.490839,21.073338,22.6,19.35,MESO,surface increased >50%,203,KENNEBEC,LOWER SEBASTICOOK,Sebasticook River (4) at Winslow,103000309,Unity Pond,Waldo,478598,4950266,44.70545356,-69.27016538,Below average,None known,Warmwater
42,Basin Pond,Pierce Pond Twp,84,1.6,15,33,963.9963446,1.613898,2.62,2.7800000000000002,MESO,surface increased <50%,1258,KENNEBEC,DEAD,Dead River,103000204,Little Bigelow Mtn,Somerset,410559,5010836,45.24533256,-70.13968729,n/a,None known,Coldwater
43,Merrymeeting Club Pond,Topsham,1,0.2,NA,NA,107.01504,4.698837,NA,42.29,NA,NA,20,ANDROSCOGGIN,ELLIS,Androscoggin River (7) at Merrymeeting Bay,104000210,Brunswick,Sagadahoc,425171,4863466,43.92050416,-69.93208105,n/a,None known,n/a
44,East Carry Pond,Carrying Place Town Twp,291,4.1,12,30,2926.971845,1.760616,2.04,0.86,MESO,no dam,1237,KENNEBEC,UPPER KENNEBEC,Kennebec River (4) at Wyman Dam,103000301,East Carry Pond,Somerset,417467,5003758,45.18247109,-70.05051236,Average,None known,Coldwater
45,Dennison Bog Pond,Oxbow Twp,5,0.9,NA,NA,75.396960000000007,0.409266,NA,8.93,NA,NA,2850,ANDROSCOGGIN,KENNEBAGO,Richardson Lakes,104000101,Little Kennebago Lake,Oxford,355794,5012082,45.24744943,-70.83760207,n/a,None known,n/a
46,Middle Carry Pond,Carrying Place Town Twp,127,5.5,11,42,1098.621508,3.837834,6.21,6.16,EUTRO,no dam,1229,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,East Carry Pond,Somerset,416624,5002455,45.17064367,-70.06102043,n/a,None known,Coldwater
47,Holt Pond,"Deer Isle, Stonington",53,NA,NA,NA,586.15056,1.722006,NA,4.16,NA,NA,5,COASTAL,COASTAL,Stonington Coastal,105000217,Deer Isle,Hancock,527036,4892789,44.1878172,-68.66171595,n/a,None known,n/a
48,West Carry Pond,Carrying Place Town Twp,726,5.9,37,96,25753.72983,3.868722,4.93,0.21,MESO,no dam,1317,KENNEBEC,DEAD,Flagstaff Lake,103000203,East Carry Pond,Somerset,412666,5002368,45.16938331,-70.11135985,Above average,None known,Coldwater
49,Mill Pond,Deer Isle,50,1.9000000000000001,NA,NA,510.7536,0.671814,NA,1.94,NA,NA,5,COASTAL,COASTAL,Stonington Coastal,105000217,Deer Isle,Hancock,525445,4896481,44.22110831,-68.68144098,n/a,None known,n/a
50,Jewett Pond,Pleasant Ridge Plt,24,1,5,9,106.7562582,0.150579,1.98,19.87,EUTRO,no dam,1214,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,East Carry Pond,Somerset,420986,4998172,45.13260348,-70.00483762,n/a,None known,Coldwater
51,Millpond,Cooper,16,1.6,NA,NA,170.2512,2.610036,NA,20.92,NA,NA,375,COASTAL,DENNYS,Dennys River,105000201,Meddybemps Lake West,Washington,620872,4984177,45.00074163,-67.46636475,n/a,None known,n/a
52,Spruce Pond,Lexington Twp,62,1.5,9,29,415.7064086,0.513513,0.52,1.53,MESO,no dam,1432,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Witham Mtn,Somerset,421152,4985586,45.01933688,-70.00075081,n/a,None known,Coldwater
53,unnamed pond,Stetson,53,1.6,NA,NA,NA,NA,NA,NA,NA,NA,325,KENNEBEC,EAST BRANCH SEBASTICOOK,Sebasticook River (3) at Burnham,103000308,Stetson,Penobscot,482177,4971947,44.90072382,-69.22575123,n/a,None known,n/a
54,Moores Pond,Lexington Twp,10,0.7000000000000001,NA,NA,102.15072,0.069498,0.11,0.89,NA,NA,481,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Witham Mtn,Somerset,416864,4987697,45.03785258,-70.05552206,n/a,None known,n/a
55,Alder Stream Pond,Corinna,73,2.5,NA,NA,709.947504,13.084929,NA,20.14,NA,NA,218,KENNEBEC,EAST BRANCH SEBASTICOOK,Sebasticook River (3) at Burnham,103000308,Stetson,Penobscot,480401,4974005,44.9192031,-69.24832688,n/a,None known,n/a
56,Butler Pond,"Kingfield, Lexington Twp",30,1.1,8,15,208.7916938,2.347488,2.3,16.12,MESO,no dam,1116,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Poplar Mtn,Somerset,411208,4985883,45.02083437,-70.12698747,n/a,None known,Coldwater
57,unnamed pond,Corinna,13,0.7000000000000001,NA,NA,130.12056,1.150578,NA,8.95,NA,NA,375,KENNEBEC,EAST BRANCH SEBASTICOOK,Sebasticook River (3) at Burnham,103000308,Stetson,Penobscot,482975,4976192,44.93895686,-69.21578238,n/a,None known,n/a
58,Hammond Pond,Johnson Mountain Twp,5,0.4,NA,NA,77.82912,0.451737,NA,6.98,NA,NA,790,NA,NA,Carrabassett River,103000304,Poplar Mtn,Franklin,405400,4988733,45.04573735,-70.20122631,n/a,None known,n/a
59,Mountain Pond #1,Johnson Mountain Twp,2,0.2,NA,NA,13.133664,0.019305,NA,2.12,NA,NA,2850,KENNEBEC,UPPER KENNEBEC,Moose River (3) at Long Pond,103000103,Johnson Mtn,Somerset,412918,5036981,45.48091942,-70.11425345,n/a,None known,No fishery
60,Little Grass Pond,Carrying Place Twp,2,0.2,NA,NA,NA,NA,0.18,NA,NA,NA,1070,KENNEBEC,UPPER KENNEBEC,Kennebec River (4) at Wyman Dam,103000301,East Carry Pond,Somerset,417916,5009839,45.23725776,-70.04580079,n/a,None known,n/a
61,Gold Stream Pond,Surry,31,1.2,NA,NA,296.72352,2.166021,NA,9.54,NA,NA,190,PENOBSCOT,LOWER PENOBSCOT,Penobscot River (6),102000513,Branch Lake,Hancock,531773,4929172,44.51517021,-68.60022142,n/a,None known,n/a
62,Baker Pond,Solon,58,1.5,26,67,1398.770158,1.073358,1.09,0.9500000000000001,MESO,surface increased <50%,628,KENNEBEC,WESSERRUNSETT,Kennebec River at Waterville Dam,103000306,Solon,Somerset,439208,4981197,44.98161663,-69.77107453,Average,None known,Coldwater + Warmwater
63,unnamed pond,T18 ED BPP,42,1.5,NA,NA,428.06016,0.972972,NA,3.38,NA,NA,49,MACHIAS,LOWER E. BRANCH MACHIAS,East Machias River,105000204,Hadley Lake,Washington,619368,4964098,44.82030931,-67.4901907,n/a,None known,n/a
64,Chase Pond,Solon,12,1.4000000000000001,4,5,44.64643147,0.671814,1.87,47.67,EUTRO,no dam,621,KENNEBEC,WESSERRUNSETT,Kennebec River at Waterville Dam,103000306,Solon,Somerset,439948,4980973,44.97966281,-69.76166478,n/a,None known,No fishery
65,unnamed pond,Whiting,7,0.4,NA,NA,72.9648,0.247104,NA,4.92,NA,NA,110,COASTAL,COASTAL,Grand Manan Channel,105000203,Long Lake,Washington,637866,4956990,44.75302033,-67.2582344,n/a,None known,n/a
66,Mud Pond,Solon,6,0.4,NA,NA,48.6432,0.11583,0.11,2.88,NA,NA,612,KENNEBEC,WESSERRUNSETT,Kennebec River at Waterville Dam,103000306,Solon,Somerset,440759,4981096,44.98083192,-69.75139306,n/a,None known,n/a
67,unnamed pond,Baring,7,0.5,NA,NA,34.05024,0.911196,NA,35.35,NA,NA,235,NA,NA,Pennamaquan River,105000202,Meddybemps Lake East,Washington,633555,4991635,45.06557389,-67.30353648,n/a,None known,n/a
68,Rowell Pond,Solon,23,1,5,6,473.5520103,0.814671,0.77,1.8900000000000001,EUTRO,no dam,688,KENNEBEC,WESSERRUNSETT,Kennebec River at Waterville Dam,103000306,Solon,Somerset,440152,4978461,44.95706791,-69.75878298,n/a,None known,Bait
69,unnamed pond,Charlotte,1,0.2,NA,NA,1028.80368,2.308878,NA,8.21,NA,NA,195,NA,NA,Pennamaquan River,105000202,Meddybemps Lake East,Washington,634245,4988443,45.03672554,-67.29562953,n/a,None known,n/a
70,Wesserunsett Lake,Madison,1404,12.9,14,22,18556.25633,15.760602,18.1,0.89,MESO,surface increased <50%,335,KENNEBEC,WESSERRUNSETT,Kennebec River at Waterville Dam,103000306,Madison East,Somerset,439315,4965480,44.84014686,-69.76782954,Average,None known,Coldwater + Warmwater
71,The Basin,Turner,107,4.2,NA,NA,119.17584,0.189189,NA,2.15,NA,NA,269,NARRAGUAGUS,UPPER NARRAGUAGUS,Androscoggin River (6) above Little Androscoggin R,104000208,Lake Auburn West,Androscoggin,397192,4893190,44.18468026,-70.28630226,n/a,Variable water-milfoil,No fishery
72,Nevin Pond,Anson,10,1.1,NA,NA,NA,NA,5.12,NA,NA,NA,375,KENNEBEC,LOWER SANDY,Sandy River,103000305,Madison West,Somerset,424920,4960778,44.79645522,-69.94925756,n/a,None known,n/a
73,unnamed pond,T34 MD,17,1.2,NA,NA,177.54768,0.301158,NA,2.37,NA,NA,395,NARRAGUAGUS,UPPER NARRAGUAGUS,Narraguagus River,105000209,Alligator Lake,Hancock,567839,4978284,44.95475104,-68.13994905,n/a,None known,n/a
74,Fahi Pond,Embden,194,4.6,7,11,1127.081915,1.965249,4.81,4.75,EUTRO,surface increased <50%,416,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Embden Pond,Somerset,429038,4972883,44.90583202,-69.8988877,n/a,None known,Warmwater
75,unnamed pond,Baring,11,0.7000000000000001,NA,NA,116.74368,0.320463,NA,3.72,NA,NA,178,COASTAL,PENNAMAQUAN,Pennamaquan River,105000202,Meddybemps Lake East,Washington,634098,4996550,45.1096947,-67.29532712,n/a,None known,n/a
76,Sandy Pond,Embden,110,2.5,19,41,1751.058076,0.783783,1.73,0.58,EUTRO,no dam,416,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Embden Pond,Somerset,427409,4973214,44.9086529,-69.91956554,n/a,None known,Warmwater
77,unnamed pond,Baring,11,0.7000000000000001,NA,NA,121.608,0.042471,NA,1.87,NA,NA,175,ST. CROIX,ST. CROIX,St. Croix River (6) at Robbinston,105000108,Meddybemps Lake East,Washington,634319,4997758,45.12052896,-67.29218529,n/a,None known,n/a
78,Embden Pond,Embden,1542,10.1,62,180,91626.58289,14.999985,22.400000000000002,0.27,OLIGO,surface increased <50%,415,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Embden Pond,Somerset,424857,4976689,44.93966435,-69.95240945,Above average,None known,Coldwater
79,Black Hill Pond,Embden,25,1,24,49,559.6777145,0.517374,0.63,1.06,MESO,no dam,447,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Embden Pond,Somerset,423018,4973792,44.91339539,-69.97527713,n/a,None known,Coldwater
80,Pushaw Lake,"Glenburn, Hudson, Old Town, Orono",4680,32,11,28,53102.16,75.243168,113,1.96,MESO,surface increased <50%,116,PENOBSCOT,PUSHAW,Pushaw Stream,102000508,Pushaw Lake,Penobscot,515834,4975894,44.93630538,-68.79932195,Average,None known,Warmwater
81,unnamed pond,Baring,7,0.5,NA,NA,72.9648,0.104247,NA,2.03,NA,NA,185,ST. CROIX,ST. CROIX,St. Croix River (6) at Robbinston,105000108,Meddybemps Lake East,Washington,634601,4997771,45.12058573,-67.2885967,n/a,None known,n/a
82,Hancock Pond,"Embden, Lexington Twp",314,5.5,24,106,5796.571792,4.32432,4.84,0.89,MESO,surface increased <50%,538,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Embden Pond,Somerset,421439,4978658,44.95701266,-69.9960241,n/a,None known,Coldwater
83,Lilly Pond,"Camden, Rockport",32,1.3,13,24,327.7839057,0.274131,0.3,1.2,EUTRO,no dam,96,COASTAL,COASTAL,West Penobscot Bay Coastal,105000220,Camden,Knox,494786,4893191,44.19191653,-69.06523822,Below average,None known,Warmwater
84,Old Point Pond,Norridgewock,2,0.2,NA,NA,NA,NA,0.03,NA,NA,NA,275,KENNEBEC,LOWER MIDDLE KENNEBEC,Kennebec River at Waterville Dam,103000306,Madison East,Somerset,431075,4957976,44.77185613,-69.87106131,n/a,None known,n/a
85,unnamed pond,Baring,8,0.7000000000000001,NA,NA,166.1110962,0.343629,NA,2.77,NA,NA,210,ST. CROIX,ST. CROIX,St. Croix River (6) at Robbinston,105000108,Meddybemps Lake East,Washington,632222,4994916,45.09534943,-67.31958849,n/a,None known,n/a
86,Pierce Pond,"Bowtown Twp, Pierce Pond Twp",1526,19.3,39,120,7311.607224,4.525092,8.32,0.51,OLIGO,surface increased <50%,1141,KENNEBEC,UPPER KENNEBEC,Kennebec River (4) at Wyman Dam,103000301,Pierce Pond,Somerset,414041,5016764,45.26497396,-70.07391917,Above average,None known,Coldwater
87,unnamed pond,Baring,8,0.6,NA,NA,97.2864,0.297297,NA,4.2,NA,NA,235,COASTAL,PENNAMAQUAN,Dennys River,105000201,Meddybemps Lake East,Washington,632733,4989582,45.04726209,-67.31451422,n/a,None known,n/a
88,unnamed pond,"Baring, Meddybemps",49,2.2,NA,NA,462.1104,0.258687,NA,0.92,NA,NA,194,COASTAL,DENNYS,Dennys River,105000201,Meddybemps Lake East,Washington,630836,4992191,45.07108822,-67.33790497,n/a,None known,n/a
89,unnamed pond,Baring,7,0.5,NA,NA,72.9648,0.467181,NA,8.4,NA,NA,215,COASTAL,PENNAMAQUAN,Dennys River,105000201,Meddybemps Lake East,Washington,631251,4994210,45.08917462,-67.33211373,n/a,None known,n/a
90,Higher Pond,Pierce Pond Twp,2,0.2,NA,NA,48.6432,0.081081,0.1,1.97,NA,NA,2170,KENNEBEC,UPPER KENNEBEC,Kennebec River (4) at Wyman Dam,103000301,Pierce Pond,Somerset,412400,5013910,45.2732276,-70.11678084,n/a,None known,n/a
91,unnamed pond,Freeman Twp,10,0.6,NA,NA,NA,NA,NA,NA,NA,NA,700,KENNEBEC,UPPER SANDY,Sandy River,103000305,Strong,Franklin,402365,4967507,44.85429538,-70.23566024,n/a,None known,n/a
92,High Pond,Pierce Pond Twp,8,0.4,13,25,72.9648,0.084942,0.1,1.5,MESO,no dam,2079,KENNEBEC,DEAD,Dead River,103000204,Pierce Pond,Somerset,412166,5013308,45.26777825,-70.11966166,n/a,None known,Remote
93,unnamed pond,Freeman Twp,2,0.2,NA,NA,2310.552,0.254826,NA,0.12,NA,NA,630,KENNEBEC,UPPER SANDY,Sandy River,103000305,Strong,Franklin,401677,4967174,44.85120124,-70.2443004,n/a,None known,n/a
94,Helen Pond,Pierce Pond Twp,17,0.7000000000000001,22,52,145.9296,0.108108,0.11,0.99,OLIGO,no dam,2040,KENNEBEC,DEAD,Dead River,103000204,Basin Mtn,Somerset,411721,5013357,45.26816425,-70.12533369,n/a,None known,Remote
95,unnamed pond,Freeman Twp,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,595,KENNEBEC,UPPER SANDY,Sandy River,103000305,Strong,Franklin,402059,4966748,44.84741681,-70.23937766,n/a,None known,n/a
96,Fish Pond,Pierce Pond Twp,7,0.5,NA,NA,97.2864,0.366795,0.74,7.26,NA,NA,1520,KENNEBEC,UPPER KENNEBEC,Dead River,103000204,Basin Mtn,Somerset,411532,5012268,45.25834282,-70.12755068,n/a,None known,Coldwater
97,Kezar Lake,"Lovell, Stow",2665,33.9,34,155,87834.96949,41.73741,55.7,0.7000000000000001,MESO,surface increased <50%,377,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Center Lovell,Oxford,345500,4889555,44.18613098,-70.90331488,Above average,None known,Coldwater + Warmwater
98,Upper Narrows Pond,Winthrop,239,5.1,25,54,4950.587904,3.97683,6.75,1.5,MESO,surface increased <50%,172,KENNEBEC,COBBOSSEECONTEE STREAM,Cobbosseecontee Stream,103000311,Winthrop,Kennebec,424650,4906308,44.30612637,-69.94469312,Above average,None known,Coldwater + Warmwater
99,unnamed pond,Freeman Twp,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,590,KENNEBEC,UPPER SANDY,Sandy River,103000305,Strong,Franklin,401965,4966118,44.84173893,-70.24044647,n/a,None known,n/a
100,Fernald Pond,Pierce Pond Twp,6,0.4,3,9,48.6432,0.03861,NA,1.07,NA,no dam,1355,KENNEBEC,UPPER KENNEBEC,Kennebec River (4) at Wyman Dam,103000301,Pierce Pond,Somerset,413649,5015185,45.28485548,-70.10108148,n/a,None known,n/a
101,unnamed pond,Andover,10,0.7000000000000001,NA,NA,NA,NA,NA,NA,NA,NA,1033,NA,NA,Ellis River,104000203,Puzzle Mtn,Oxford,360089,4938133,44.58294072,-70.76242665,n/a,None known,n/a
102,Horseshoe Pond,Pierce Pond Twp,11,0.9,5,16,145.9296,0.486486,0.16,3.72,NA,no dam,1199,KENNEBEC,UPPER KENNEBEC,Kennebec River (4) at Wyman Dam,103000301,Pierce Pond,Somerset,413204,5016014,45.29226416,-70.10689788,n/a,None known,Coldwater
103,Lower Narrows Pond,Winthrop,223,4.3,31,106,5842.100206,1.347489,8.54,1.58,MESO,surface increased <50%,172,KENNEBEC,COBBOSSEECONTEE STREAM,Cobbosseecontee Stream,103000311,Winthrop,Kennebec,424028,4904575,44.29045444,-69.95223952,Above average,None known,Coldwater + Warmwater
