MIDAS,Lake,Towns,Flushes_p_yr,Trop_Cat,Dam,Major_Drainage,Sub_Drainage,HUC10_Name,HUC10_Code,USGS_Quad24,County,UTM_X,UTM_Y,Latitude,Longitude,WQ_Statement,Invasives,Fishery,Area_sq_m,Perim_km,D_Mean_m,D_Max_m,Volume_m3,DDrain_ha,TDrain_ha,Elev_m
11,Elaine Pond,Lowelltown Twp,2.62,NA,NA,KENNEBEC,UPPER MOOSE,Moose River (2) above Attean Pond,103000102,Skinner,Franklin,376696,5045003,45.54764427,-70.57958781,n/a,None known,n/a,44515.42,0.08,NA,NA,129001,53,NA,417.6
12,Porter Lake,"New Vineyard, Strong",0.42,MESO,surface increased <50%,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Strong,Franklin,409034,4962675,44.81168149,-70.15039834,Above average,None known,Coldwater,2120552.77,1.13,8.2,26.2,16000134,1212.99,1372.69,194.2
14,Taylor Hill Pond,Strong,5.55,NA,NA,KENNEBEC,UPPER SANDY,Sandy River,103000305,Strong,Franklin,407089,4965228,44.83441314,-70.17546445,n/a,None known,n/a,117358.84,0.21,NA,NA,354603,348,326.34,202.7
15,Long Logan,Rangeley,NA,NA,NA,ANDROSCOGGIN,UMBAGOG-RANGELEY,Richardson Lakes,104000101,Kennebago Lake,Franklin,368763,4986736,45.02192799,-70.66575391,n/a,None known,n/a,32374.85,0.23,NA,NA,NA,NA,849.52,515.1
16,Day Mountain Pond,Avon,7.5600000000000005,MESO,surface increased <50%,KENNEBEC,LOWER SANDY,Sandy River,103000305,Strong,Franklin,401237,4958928,44.77692954,-70.24826231,n/a,None known,Coldwater,64749.7,0.11,3.4,8.2,127806,63,72.52,419.4
17,Lost Pond,Chain of Ponds Twp,NA,NA,NA,KENNEBEC,NORTH BRANCH DEAD,North Branch Dead River,103000201,Chain of Ponds,Franklin,363697,5025854,45.37293438,-70.74072443,n/a,None known,n/a,16187.43,0.06,NA,NA,NA,NA,5.18,399.3
18,Bauds Pond,New Vineyard,38.72,NA,NA,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,New Vineyard,Franklin,411836,4963660,44.82090279,-70.11514965,n/a,None known,n/a,125452.55,0.24,NA,NA,396003,895.99,2900.79,169.2
19,Emery Pond,Sidney,0.34,MESO,no dam,KENNEBEC,MESSALONSKEE STREAM,Messalonskee Stream,103000310,Belgrade,Kennebec,434389,4916428,44.39817151,-69.8238863,n/a,None known,No fishery,32374.85,0.1,4.3,12.8,150784,6,170.94,82.9
20,Mill Pond,New Vineyard,38.62,NA,NA,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Strong,Franklin,410996,4961392,44.80038559,-70.12536963,n/a,None known,n/a,97124.55,0.19,NA,NA,271502,304,2100.48,185.3
21,Mud Pond,Temple,37,NA,NA,KENNEBEC,LOWER SANDY,Sandy River,103000305,Farmington,Franklin,402326,4951616,44.71126281,-70.23309715,n/a,None known,n/a,28327.99,0.1,NA,NA,90001,181,562.03,181.4
22,Lily Pond,New Vineyard,14.1,NA,NA,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Strong,Franklin,410315,4961263,44.79913496,-70.13395617,n/a,None known,Warmwater,226623.96,0.31,0.3,1.2,655206,205,1616.15,187.5
24,Gammon Pond,"Freeman Twp, New Portland",5.14,EUTRO,no dam,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Strong,Franklin,410493,4968336,44.86282248,-70.13295549,n/a,None known,Warmwater,420873.07,0.31,2.1,3.7,833685,725,795.13,180.7
25,Poison Pond,Jim Pond Twp,NA,NA,NA,KENNEBEC,NORTH BRANCH DEAD,North Branch Dead River,103000201,Jim Pond,Franklin,377142,5013190,45.26147177,-70.56595325,n/a,None known,n/a,4046.86,0.02,NA,NA,NA,NA,31.08,364.2
26,Day Pond,Kingfield,NA,NA,NA,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Kingfield,Franklin,403223,4982349,44.98799172,-70.22764023,n/a,None known,n/a,12140.57,0.05,NA,NA,NA,NA,36.26,393.2
27,Prick Pond,Skinner Twp,NA,NA,NA,KENNEBEC,UPPER MOOSE,South Branch Moose River,103000101,Kibby Mtn,Franklin,381415,5033495,45.44491779,-70.51637214,n/a,None known,No fishery,12140.57,0.05,NA,NA,NA,NA,NA,752.9
28,Tufts Pond,Kingfield,1.83,MESO,no dam,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Kingfield,Franklin,405430,4983323,44.99704789,-70.19983601,n/a,None known,Coldwater,226623.96,0.29,2.7,13.1,537498,145,248.64,383.1
29,Robinson Pond,Chesterville,4.3,NA,NA,ANDROSCOGGIN,DEAD,Sandy River,103000305,Wilton,Franklin,410650,4934792,44.56092219,-70.12510373,n/a,None known,Warmwater,109265.12,0.13,NA,NA,330003,193,264.18,123.4
30,Pinnacle Pond,Kingfield,0.8300000000000001,MESO,no dam,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Kingfield,Franklin,407540,4979809,44.96569987,-70.17242422,n/a,None known,Coldwater,16187.43,0.05,4.3,12.8,79593,11,23.31,181.4
31,Roland Pond,Dallas Plt,1.4000000000000001,NA,NA,ANDROSCOGGIN,UMBAGOG-RANGELEY,South Branch Dead River,103000202,Kennebago Lake,Franklin,371558,4985796,45.01398347,-70.63005572,n/a,None known,n/a,16187.43,0.05,NA,NA,330003,82,93.24,512.1
32,Grindstone Pond,Kingfield,6.37,MESO,no dam,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Poplar Mtn,Franklin,405065,4983995,45.00305403,-70.20459272,n/a,None known,Coldwater,32374.85,0.08,3.7,9.1,99795,101,121.73,396.5
33,Jims Pond,Newry,15.41,NA,NA,ANDROSCOGGIN,BEAR,Androscoggin River (2) at Rumford Point,104000202,Puzzle Mtn,Oxford,359185,4930516,44.51422235,-70.77173343,n/a,None known,n/a,56655.99,0.11,NA,NA,165001,550,NA,401.4
34,Hid Pond,Kingfield,1.45,MESO,no dam,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Poplar Mtn,Franklin,410788,4984369,45.00716211,-70.13205915,n/a,None known,Coldwater,52609.13,0.11,1.2,2.1,240002,54,67.34,377.3
35,Clark Cove Pond,South Bristol,NA,EUTRO,surface increased >50%,COASTAL,DAMARISCOTTA,Damariscotta River,105000304,Bristol,Lincoln,454675,4864674,43.9337923,-69.56470702,Below average,None known,No fishery,121405.69,0.39,1.5,3.4,NA,NA,NA,1.5
36,Redington Pond,Carrabasset Valley,2.85,MESO,no dam,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Poplar Mtn,Franklin,402098,4990675,45.06276666,-70.24352604,n/a,None known,Coldwater,190202.25,0.19,1.2,1.8,579005,252,189.07,430.1
37,Winnegance Pond,"Arrowsic, Phippsburg, West Bath",NA,EUTRO,surface increased >50%,NA,NA,Kennebec River Estuary,105000307,Phippsburg,Sagadahoc,434547,4858102,43.87311247,-69.81465196,n/a,None known,Warmwater,194249.11,0.39,2.7,6.7,NA,NA,823.62,1.5
38,Flagstaff Lake,"Eustis, Bigelow Twp, Carrying Place Town Twp, Dead",2,EUTRO,surface increased >50%,KENNEBEC,DEAD,Flagstaff Lake,103000203,The Horns,Somerset,399856,5004745,45.20082228,-70.30664644,n/a,None known,Warmwater,70334364.62,23.69,5.5,15.2,322388697,94415.47,133643.39,349.3
39,Lily Pond,"Bath, West Bath",12.26,EUTRO,no dam,MERRYMEETING BAY,MERRYMEETING BAY,Kennebec River Estuary,105000307,Bath,Sagadahoc,432802,4860885,43.89800259,-69.83672354,n/a,None known,Warmwater,36421.71,0.18,1.8,3,88855,264,186.48,9.1
40,Black Brook Pond,Pierce Pond Twp,30.740000000000002,NA,NA,KENNEBEC,DEAD,Dead River,103000204,Little Bigelow Mtn,Somerset,408642,5010234,45.23967073,-70.16400574,n/a,None known,Bait,234717.67,0.76,NA,NA,666006,3532.98,4221.68,346.3
41,Carlton Pond,"Detroit, Troy",19.35,MESO,surface increased >50%,KENNEBEC,LOWER SEBASTICOOK,Sebasticook River (4) at Winslow,103000309,Unity Pond,Waldo,478598,4950266,44.70545356,-69.27016538,Below average,None known,Warmwater,1323322.05,1.95,1.2,2.4,1477083,5457.97,5853.37,61.9
42,Basin Pond,Pierce Pond Twp,2.7800000000000002,MESO,surface increased <50%,KENNEBEC,DEAD,Dead River,103000204,Little Bigelow Mtn,Somerset,410559,5010836,45.24533256,-70.13968729,n/a,None known,Coldwater,339935.94,0.26,4.6,10.1,1189072,418,678.58,383.4
43,Merrymeeting Club Pond,Topsham,42.29,NA,NA,ANDROSCOGGIN,ELLIS,Androscoggin River (7) at Merrymeeting Bay,104000210,Brunswick,Sagadahoc,425171,4863466,43.92050416,-69.93208105,n/a,None known,n/a,4046.86,0.03,NA,NA,132001,1216.99,NA,6.1
44,East Carry Pond,Carrying Place Town Twp,0.86,MESO,no dam,KENNEBEC,UPPER KENNEBEC,Kennebec River (4) at Wyman Dam,103000301,East Carry Pond,Somerset,417467,5003758,45.18247109,-70.05051236,Average,None known,Coldwater,1177635.22,0.66,3.7,9.1,3610367,456,528.36,377
45,Dennison Bog Pond,Oxbow Twp,8.93,NA,NA,ANDROSCOGGIN,KENNEBAGO,Richardson Lakes,104000101,Little Kennebago Lake,Oxford,355794,5012082,45.24744943,-70.83760207,n/a,None known,n/a,20234.28,0.14,NA,NA,93001,106,NA,868.7
46,Middle Carry Pond,Carrying Place Town Twp,6.16,EUTRO,no dam,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,East Carry Pond,Somerset,416624,5002455,45.17064367,-70.06102043,n/a,None known,Coldwater,513950.77,0.89,3.4,12.8,1355130,993.99,1608.38,374.6
47,Holt Pond,"Deer Isle, Stonington",4.16,NA,NA,COASTAL,COASTAL,Stonington Coastal,105000217,Deer Isle,Hancock,527036,4892789,44.1878172,-68.66171595,n/a,None known,n/a,214483.39,NA,NA,NA,723006,446,NA,1.5
48,West Carry Pond,Carrying Place Town Twp,0.21,MESO,no dam,KENNEBEC,DEAD,Flagstaff Lake,103000203,East Carry Pond,Somerset,412666,5002368,45.16938331,-70.11135985,Above average,None known,Coldwater,2938017.76,0.95,11.3,29.3,31766758,1001.99,1276.86,401.4
49,Mill Pond,Deer Isle,1.94,NA,NA,COASTAL,COASTAL,Stonington Coastal,105000217,Deer Isle,Hancock,525445,4896481,44.22110831,-68.68144098,n/a,None known,n/a,202342.82,0.31,NA,NA,630005,174,NA,1.5
50,Jewett Pond,Pleasant Ridge Plt,19.87,EUTRO,no dam,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,East Carry Pond,Somerset,420986,4998172,45.13260348,-70.00483762,n/a,None known,Coldwater,97124.55,0.16,1.5,2.7,131682,39,512.82,370
51,Millpond,Cooper,20.92,NA,NA,COASTAL,DENNYS,Dennys River,105000201,Meddybemps Lake West,Washington,620872,4984177,45.00074163,-67.46636475,n/a,None known,n/a,64749.7,0.26,NA,NA,210002,676,NA,114.3
52,Spruce Pond,Lexington Twp,1.53,MESO,no dam,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Witham Mtn,Somerset,421152,4985586,45.01933688,-70.00075081,n/a,None known,Coldwater,250905.1,0.24,2.7,8.8,512766,133,134.68,436.5
53,unnamed pond,Stetson,NA,NA,NA,KENNEBEC,EAST BRANCH SEBASTICOOK,Sebasticook River (3) at Burnham,103000308,Stetson,Penobscot,482177,4971947,44.90072382,-69.22575123,n/a,None known,n/a,214483.39,0.26,NA,NA,NA,NA,NA,99.1
54,Moores Pond,Lexington Twp,0.89,NA,NA,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Witham Mtn,Somerset,416864,4987697,45.03785258,-70.05552206,n/a,None known,n/a,40468.56,0.11,NA,NA,126001,18,28.49,146.6
55,Alder Stream Pond,Corinna,20.14,NA,NA,KENNEBEC,EAST BRANCH SEBASTICOOK,Sebasticook River (3) at Burnham,103000308,Stetson,Penobscot,480401,4974005,44.9192031,-69.24832688,n/a,None known,n/a,295420.52,0.4,NA,NA,875707,3388.98,NA,66.4
56,Butler Pond,"Kingfield, Lexington Twp",16.12,MESO,no dam,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Poplar Mtn,Somerset,411208,4985883,45.02083437,-70.12698747,n/a,None known,Coldwater,121405.69,0.18,2.4,4.6,257541,608,595.7,340.2
57,unnamed pond,Corinna,8.95,NA,NA,KENNEBEC,EAST BRANCH SEBASTICOOK,Sebasticook River (3) at Burnham,103000308,Stetson,Penobscot,482975,4976192,44.93895686,-69.21578238,n/a,None known,n/a,52609.13,0.11,NA,NA,160501,298,NA,114.3
58,Hammond Pond,Johnson Mountain Twp,6.98,NA,NA,NA,NA,Carrabassett River,103000304,Poplar Mtn,Franklin,405400,4988733,45.04573735,-70.20122631,n/a,None known,n/a,20234.28,0.06,NA,NA,96001,117,NA,240.8
59,Mountain Pond #1,Johnson Mountain Twp,2.12,NA,NA,KENNEBEC,UPPER KENNEBEC,Moose River (3) at Long Pond,103000103,Johnson Mtn,Somerset,412918,5036981,45.48091942,-70.11425345,n/a,None known,No fishery,8093.71,0.03,NA,NA,16200,5,NA,868.7
60,Little Grass Pond,Carrying Place Twp,NA,NA,NA,KENNEBEC,UPPER KENNEBEC,Kennebec River (4) at Wyman Dam,103000301,East Carry Pond,Somerset,417916,5009839,45.23725776,-70.04580079,n/a,None known,n/a,8093.71,0.03,NA,NA,NA,NA,46.62,326.1
61,Gold Stream Pond,Surry,9.54,NA,NA,PENOBSCOT,LOWER PENOBSCOT,Penobscot River (6),102000513,Branch Lake,Hancock,531773,4929172,44.51517021,-68.60022142,n/a,None known,n/a,125452.55,0.19,NA,NA,366003,561,NA,57.9
62,Baker Pond,Solon,0.9500000000000001,MESO,surface increased <50%,KENNEBEC,WESSERRUNSETT,Kennebec River at Waterville Dam,103000306,Solon,Somerset,439208,4981197,44.98161663,-69.77107453,Average,None known,Coldwater + Warmwater,234717.67,0.24,7.9,20.4,1725358,278,282.31,191.4
63,unnamed pond,T18 ED BPP,3.38,NA,NA,MACHIAS,LOWER E. BRANCH MACHIAS,East Machias River,105000204,Hadley Lake,Washington,619368,4964098,44.82030931,-67.4901907,n/a,None known,n/a,169967.97,0.24,NA,NA,528004,252,NA,14.9
64,Chase Pond,Solon,47.67,EUTRO,no dam,KENNEBEC,WESSERRUNSETT,Kennebec River at Waterville Dam,103000306,Solon,Somerset,439948,4980973,44.97966281,-69.76166478,n/a,None known,No fishery,48562.28,0.23,1.2,1.5,55071,174,484.33,189.3
65,unnamed pond,Whiting,4.92,NA,NA,COASTAL,COASTAL,Grand Manan Channel,105000203,Long Lake,Washington,637866,4956990,44.75302033,-67.2582344,n/a,None known,n/a,28327.99,0.06,NA,NA,90001,64,NA,33.5
66,Mud Pond,Solon,2.88,NA,NA,KENNEBEC,WESSERRUNSETT,Kennebec River at Waterville Dam,103000306,Solon,Somerset,440759,4981096,44.98083192,-69.75139306,n/a,None known,n/a,24281.14,0.06,NA,NA,60001,30,28.49,186.5
67,unnamed pond,Baring,35.35,NA,NA,NA,NA,Pennamaquan River,105000202,Meddybemps Lake East,Washington,633555,4991635,45.06557389,-67.30353648,n/a,None known,n/a,28327.99,0.08,NA,NA,42000,236,NA,71.6
68,Rowell Pond,Solon,1.8900000000000001,EUTRO,no dam,KENNEBEC,WESSERRUNSETT,Kennebec River at Waterville Dam,103000306,Solon,Somerset,440152,4978461,44.95706791,-69.75878298,n/a,None known,Bait,93077.7,0.16,1.5,1.8,584118,211,199.43,209.7
69,unnamed pond,Charlotte,8.21,NA,NA,NA,NA,Pennamaquan River,105000202,Meddybemps Lake East,Washington,634245,4988443,45.03672554,-67.29562953,n/a,None known,n/a,4046.86,0.03,NA,NA,1269011,598,NA,59.4
70,Wesserunsett Lake,Madison,0.89,MESO,surface increased <50%,KENNEBEC,WESSERRUNSETT,Kennebec River at Waterville Dam,103000306,Madison East,Somerset,439315,4965480,44.84014686,-69.76782954,Average,None known,Coldwater + Warmwater,5681786.42,2.08,4.3,6.7,22888805,4081.98,4687.88,102.1
71,The Basin,Turner,2.15,NA,NA,NARRAGUAGUS,UPPER NARRAGUAGUS,Androscoggin River (6) above Little Androscoggin R,104000208,Lake Auburn West,Androscoggin,397192,4893190,44.18468026,-70.28630226,n/a,Variable water-milfoil,No fishery,433013.64,0.68,NA,NA,147001,49,NA,82
72,Nevin Pond,Anson,NA,NA,NA,KENNEBEC,LOWER SANDY,Sandy River,103000305,Madison West,Somerset,424920,4960778,44.79645522,-69.94925756,n/a,None known,n/a,40468.56,0.18,NA,NA,NA,NA,1326.07,114.3
73,unnamed pond,T34 MD,2.37,NA,NA,NARRAGUAGUS,UPPER NARRAGUAGUS,Narraguagus River,105000209,Alligator Lake,Hancock,567839,4978284,44.95475104,-68.13994905,n/a,None known,n/a,68796.56,0.19,NA,NA,219002,78,NA,120.4
74,Fahi Pond,Embden,4.75,EUTRO,surface increased <50%,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Embden Pond,Somerset,429038,4972883,44.90583202,-69.8988877,n/a,None known,Warmwater,785090.15,0.74,2.1,3.4,1390235,509,1245.78,126.8
75,unnamed pond,Baring,3.72,NA,NA,COASTAL,PENNAMAQUAN,Pennamaquan River,105000202,Meddybemps Lake East,Washington,634098,4996550,45.1096947,-67.29532712,n/a,None known,n/a,44515.42,0.11,NA,NA,144001,83,NA,54.3
76,Sandy Pond,Embden,0.58,EUTRO,no dam,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Embden Pond,Somerset,427409,4973214,44.9086529,-69.91956554,n/a,None known,Warmwater,445154.21,0.4,5.8,12.5,2159898,203,448.07,126.8
77,unnamed pond,Baring,1.87,NA,NA,ST. CROIX,ST. CROIX,St. Croix River (6) at Robbinston,105000108,Meddybemps Lake East,Washington,634319,4997758,45.12052896,-67.29218529,n/a,None known,n/a,44515.42,0.11,NA,NA,150001,11,NA,53.3
78,Embden Pond,Embden,0.27,OLIGO,surface increased <50%,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Embden Pond,Somerset,424857,4976689,44.93966435,-69.95240945,Above average,None known,Coldwater,6240252.6,1.63,18.9,54.9,113019726,3884.98,5801.57,126.5
79,Black Hill Pond,Embden,1.06,MESO,no dam,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Embden Pond,Somerset,423018,4973792,44.91339539,-69.97527713,n/a,None known,Coldwater,101171.41,0.16,7.3,14.9,690352,134,163.17,136.2
80,Pushaw Lake,"Glenburn, Hudson, Old Town, Orono",1.96,MESO,surface increased <50%,PENOBSCOT,PUSHAW,Pushaw Stream,102000508,Pushaw Lake,Penobscot,515834,4975894,44.93630538,-68.79932195,Average,None known,Warmwater,18939288.06,5.15,3.4,8.5,65500550,19487.89,29266.87,35.4
81,unnamed pond,Baring,2.03,NA,NA,ST. CROIX,ST. CROIX,St. Croix River (6) at Robbinston,105000108,Meddybemps Lake East,Washington,634601,4997771,45.12058573,-67.2885967,n/a,None known,n/a,28327.99,0.08,NA,NA,90001,27,NA,56.4
82,Hancock Pond,"Embden, Lexington Twp",0.89,MESO,surface increased <50%,KENNEBEC,CARRABASSETT,Carrabassett River,103000304,Embden Pond,Somerset,421439,4978658,44.95701266,-69.9960241,n/a,None known,Coldwater,1270712.92,0.89,7.3,32.3,7149966,1119.99,1253.55,164
83,Lilly Pond,"Camden, Rockport",1.2,EUTRO,no dam,COASTAL,COASTAL,West Penobscot Bay Coastal,105000220,Camden,Knox,494786,4893191,44.19191653,-69.06523822,Below average,None known,Warmwater,129499.41,0.21,4,7.3,404315,71,77.7,29.3
84,Old Point Pond,Norridgewock,NA,NA,NA,KENNEBEC,LOWER MIDDLE KENNEBEC,Kennebec River at Waterville Dam,103000306,Madison East,Somerset,431075,4957976,44.77185613,-69.87106131,n/a,None known,n/a,8093.71,0.03,NA,NA,NA,NA,7.77,83.8
85,unnamed pond,Baring,2.77,NA,NA,ST. CROIX,ST. CROIX,St. Croix River (6) at Robbinston,105000108,Meddybemps Lake East,Washington,632222,4994916,45.09534943,-67.31958849,n/a,None known,n/a,32374.85,0.11,NA,NA,204895,89,NA,64
86,Pierce Pond,"Bowtown Twp, Pierce Pond Twp",0.51,OLIGO,surface increased <50%,KENNEBEC,UPPER KENNEBEC,Kennebec River (4) at Wyman Dam,103000301,Pierce Pond,Somerset,414041,5016764,45.26497396,-70.07391917,Above average,None known,Coldwater,6175502.9,3.11,11.9,36.6,9018735,1171.99,2154.87,347.8
87,unnamed pond,Baring,4.2,NA,NA,COASTAL,PENNAMAQUAN,Dennys River,105000201,Meddybemps Lake East,Washington,632733,4989582,45.04726209,-67.31451422,n/a,None known,n/a,32374.85,0.1,NA,NA,120001,77,NA,71.6
88,unnamed pond,"Baring, Meddybemps",0.92,NA,NA,COASTAL,DENNYS,Dennys River,105000201,Meddybemps Lake East,Washington,630836,4992191,45.07108822,-67.33790497,n/a,None known,n/a,198295.96,0.35,NA,NA,570005,67,NA,59.1
89,unnamed pond,Baring,8.4,NA,NA,COASTAL,PENNAMAQUAN,Dennys River,105000201,Meddybemps Lake East,Washington,631251,4994210,45.08917462,-67.33211373,n/a,None known,n/a,28327.99,0.08,NA,NA,90001,121,NA,65.5
90,Higher Pond,Pierce Pond Twp,1.97,NA,NA,KENNEBEC,UPPER KENNEBEC,Kennebec River (4) at Wyman Dam,103000301,Pierce Pond,Somerset,412400,5013910,45.2732276,-70.11678084,n/a,None known,n/a,8093.71,0.03,NA,NA,60001,21,25.9,661.4
91,unnamed pond,Freeman Twp,NA,NA,NA,KENNEBEC,UPPER SANDY,Sandy River,103000305,Strong,Franklin,402365,4967507,44.85429538,-70.23566024,n/a,None known,n/a,40468.56,0.1,NA,NA,NA,NA,NA,213.4
92,High Pond,Pierce Pond Twp,1.5,MESO,no dam,KENNEBEC,DEAD,Dead River,103000204,Pierce Pond,Somerset,412166,5013308,45.26777825,-70.11966166,n/a,None known,Remote,32374.85,0.06,4,7.6,90001,22,25.9,633.7
93,unnamed pond,Freeman Twp,0.12,NA,NA,KENNEBEC,UPPER SANDY,Sandy River,103000305,Strong,Franklin,401677,4967174,44.85120124,-70.2443004,n/a,None known,n/a,8093.71,0.03,NA,NA,2850024,66,NA,192
94,Helen Pond,Pierce Pond Twp,0.99,OLIGO,no dam,KENNEBEC,DEAD,Dead River,103000204,Basin Mtn,Somerset,411721,5013357,45.26816425,-70.12533369,n/a,None known,Remote,68796.56,0.11,6.7,15.8,180002,28,28.49,621.8
95,unnamed pond,Freeman Twp,NA,NA,NA,KENNEBEC,UPPER SANDY,Sandy River,103000305,Strong,Franklin,402059,4966748,44.84741681,-70.23937766,n/a,None known,n/a,4046.86,0.03,NA,NA,NA,NA,NA,181.4
96,Fish Pond,Pierce Pond Twp,7.26,NA,NA,KENNEBEC,UPPER KENNEBEC,Dead River,103000204,Basin Mtn,Somerset,411532,5012268,45.25834282,-70.12755068,n/a,None known,Coldwater,28327.99,0.08,NA,NA,120001,95,191.66,463.3
97,Kezar Lake,"Lovell, Stow",0.7000000000000001,MESO,surface increased <50%,SACO,UPPER SACO,Saco River-Lovewell Pond,106000204,Center Lovell,Oxford,345500,4889555,44.18613098,-70.90331488,Above average,None known,Coldwater + Warmwater,10784872.37,5.46,10.4,47.2,108342840,10809.94,14426.23,114.9
98,Upper Narrows Pond,Winthrop,1.5,MESO,surface increased <50%,KENNEBEC,COBBOSSEECONTEE STREAM,Cobbosseecontee Stream,103000311,Winthrop,Kennebec,424650,4906308,44.30612637,-69.94469312,Above average,None known,Coldwater + Warmwater,967198.68,0.82,7.6,16.5,6106460,1029.99,1748.24,52.4
99,unnamed pond,Freeman Twp,NA,NA,NA,KENNEBEC,UPPER SANDY,Sandy River,103000305,Strong,Franklin,401965,4966118,44.84173893,-70.24044647,n/a,None known,n/a,1214.06,0.02,NA,NA,NA,NA,NA,179.8
100,Fernald Pond,Pierce Pond Twp,1.07,NA,no dam,KENNEBEC,UPPER KENNEBEC,Kennebec River (4) at Wyman Dam,103000301,Pierce Pond,Somerset,413649,5015185,45.28485548,-70.10108148,n/a,None known,n/a,24281.14,0.06,0.9,2.7,60001,10,NA,413
101,unnamed pond,Andover,NA,NA,NA,NA,NA,Ellis River,104000203,Puzzle Mtn,Oxford,360089,4938133,44.58294072,-70.76242665,n/a,None known,n/a,40468.56,0.11,NA,NA,NA,NA,NA,314.9
102,Horseshoe Pond,Pierce Pond Twp,3.72,NA,no dam,KENNEBEC,UPPER KENNEBEC,Kennebec River (4) at Wyman Dam,103000301,Pierce Pond,Somerset,413204,5016014,45.29226416,-70.10689788,n/a,None known,Coldwater,44515.42,0.14,1.5,4.9,180002,126,41.44,365.5
